scenario,order_wk,line_7e,payor_keeps,recipient_holds,his_childcare,her_childcare,order_plus_own_care_pct_net
Neither pays child care,1012.7257303613252,0.2649460565232583,87171.76202121109,93821.3665981728,0,0,0.3766031600352484
Only the recipient pays $300/wk,1275.7709731620027,0.33376310903596296,73493.40939557586,91899.71922380803,0,15600,0.47442201335462636
Both pay $300/wk,1270.5792652066693,0.33240487105686545,58163.37820925319,91629.7504101307,15600,15600,0.5840526182262963
combined childcare,31200,,29008.3838119579,2191.6161880420987,,,
shares,,,0.9297558914089071,0.07024410859109291,0.8714880332986472,269.9688136773375,
