childcare_wk,payor_gross_mid,kept_of_next_dollar
0.0,102500.0,0.3626523271715152
0.0,107500.0,0.36781617343079415
0.0,112500.0,0.3722931187829643
0.0,117500.0,0.37619982042498157
0.0,122500.0,0.36682917916003643
0.0,127500.0,0.3626559175871298
0.0,132500.0,0.365340687736636
0.0,137500.0,0.36773313512952155
0.0,142500.0,0.369874211652347
0.0,147500.0,0.37179794059496346
0.0,152500.0,0.3735327772976583
0.0,157500.0,0.40569777958350023
0.0,162500.0,0.4184833231346827
0.0,167500.0,0.4202844650283747
0.0,172500.0,0.421929225219824
0.0,177500.0,0.4234351980141073
0.0,182500.0,0.4310175710189564
0.0,187500.0,0.4880895096749824
0.0,192500.0,0.48926247196695766
0.0,197500.0,0.49034646743797927
0.0,202500.0,0.48235027149402593
0.0,207500.0,0.4832816036067059
0.0,212500.0,0.48414727620137854
0.0,217500.0,0.4509533196152886
0.0,222500.0,0.4057050874226901
0.0,227500.0,0.4064073455748614
0.0,232500.0,0.4090987028098811
0.0,237500.0,0.4225126714540092
0.0,242500.0,0.4231712257926207
0.0,247500.0,0.42378991027492446
0.0,252500.0,0.42437187961095185
0.0,257500.0,0.424919982541888
0.0,262500.0,0.4254367967728409
0.0,267500.0,0.42592465933939677
0.0,272500.0,0.4103356930777372
0.0,277500.0,0.39682182975932373
0.0,282500.0,0.39723483036196555
0.0,287500.0,0.3976263028754911
0.0,292500.0,0.39799771797858996
0.0,297500.0,0.3983504228731152
0.0,302500.0,0.398685653518996
0.0,307500.0,0.39900454547780684
0.0,312500.0,0.39930814354287
0.0,317500.0,0.3995974103086803
0.0,322500.0,0.3998732338110334
0.0,327500.0,0.4001364343513269
0.0,332500.0,0.4003877706031082
0.0,337500.0,0.4006279450857895
0.0,342500.0,0.40085760907950463
0.0,347500.0,0.4010773670452705
0.0,352500.0,0.40128778060658954
0.0,357500.0,0.40148937214160685
0.0,362500.0,0.40168262802858956
0.0,367500.0,0.4018680015825958
0.0,372500.0,0.40204591571639176
0.0,377500.0,0.40221676535489387
0.0,382500.0,0.40238091962867184
0.0,387500.0,0.4025387238696916
0.0,392500.0,0.40269050142900087
0.0,397500.0,0.4028365553346055
300.0,102500.0,0.33613237720726613
300.0,107500.0,0.34325070359479726
300.0,112500.0,0.3494737445511419
300.0,117500.0,0.35494676423114285
300.0,122500.0,0.3469865243381631
300.0,127500.0,0.344087776846104
300.0,132500.0,0.347928086970032
300.0,137500.0,0.3513714614527853
300.0,142500.0,0.35447110997110864
300.0,147500.0,0.3572715693495673
300.0,152500.0,0.35981035381002147
300.0,157500.0,0.3927143604196535
300.0,162500.0,0.40618077634686195
300.0,167500.0,0.40861059995776305
300.0,172500.0,0.4108370523814665
300.0,177500.0,0.412882296929002
300.0,182500.0,0.4209655480609974
300.0,187500.0,0.4785035313258006
300.0,192500.0,0.4801108615194913
300.0,197500.0,0.4816003553088667
300.0,202500.0,0.47398329101151904
300.0,207500.0,0.4752696255206945
300.0,212500.0,0.47646817628486604
300.0,217500.0,0.44358677464311475
300.0,222500.0,0.3986323955656291
300.0,227500.0,0.3996112678669626
300.0,232500.0,0.40256332285975516
300.0,237500.0,0.41622327099675605
300.0,242500.0,0.4171141740341351
300.0,247500.0,0.4179525652776501
300.0,252500.0,0.4187425002195203
300.0,257500.0,0.41948764955742807
300.0,262500.0,0.4201913422623562
300.0,267500.0,0.4208566031173308
300.0,272500.0,0.40543618552479604
300.0,277500.0,0.39208260025304337
300.0,282500.0,0.3926481406868494
300.0,287500.0,0.39318490506053205
300.0,292500.0,0.39369481607913037
300.0,297500.0,0.39417963827301866
300.0,302500.0,0.3946409933806368
300.0,307500.0,0.39508037401160984
300.0,312500.0,0.39549915580683737
300.0,317500.0,0.39589860828161183
300.0,322500.0,0.3962799045126361
300.0,327500.0,0.39664412980772323
300.0,332500.0,0.39699228947873344
300.0,337500.0,0.39732531582214287
300.0,342500.0,0.39764407439846544
300.0,347500.0,0.39794936968989786
300.0,352500.0,0.39824195020567277
300.0,357500.0,0.3985225130957959
300.0,362500.0,0.39879170832685196
300.0,367500.0,0.39905014246651554
300.0,372500.0,0.3992983821183327
300.0,377500.0,0.3995369570431998
300.0,382500.0,0.3997663629998162
300.0,387500.0,0.39998706433261394
300.0,392500.0,0.40019949633267243
300.0,397500.0,0.4004040673939453
