higher_gross,lower_gross,order_wk,gap_household,gap_per_person,order_pct_payor_net,line_7e,lag
60000.0,0.0,393.706523076923,4858.878399999994,-19138.226000000002,0.43000922495274096,0.35442038639983375,0.07558883855290721
65000.0,0.0,427.62960000000004,4619.378400000009,-20700.725999999995,0.4328108452143449,0.3542913007456504,0.07851954446869447
70000.0,0.0,461.55267692307694,4729.878399999998,-21913.226000000002,0.4380096578154941,0.3541812643881707,0.0838283934273234
75000.0,0.0,495.47575384615385,4990.378399999998,-22975.726000000002,0.44374147168998923,0.3540863503930515,0.08965512129693776
80000.0,0.0,529.3988307692308,5250.878400000009,-24038.225999999995,0.44886253383336056,0.3540036417879739,0.09485889204538667
85000.0,0.0,563.3219076923076,5511.378399999994,-25100.726000000002,0.4534655242075931,0.35393092648977814,0.09953459771781498
90000.0,0.0,592.8214153846153,5311.827199999992,-26450.758000000005,0.45423581522139533,0.35124554031265665,0.10299027490873869
95000.0,0.0,621.8983384615385,5068.327200000007,-27828.257999999994,0.45462641689804245,0.3486127549480402,0.10601366195000222
100000.0,0.0,650.9752615384616,4824.827200000007,-29205.757999999994,0.4549827096774194,0.3462492696698172,0.10873344000760221
105000.0,0.0,680.0521846153846,4581.327199999992,-30583.258000000005,0.45530902372292137,0.34411577595266823,0.11119324777025313
110000.0,0.0,709.1291076923076,4337.827199999992,-31960.758000000005,0.45560898993019083,0.3421802605693923,0.11342872936079851
115000.0,0.0,738.2060307692308,4094.327200000007,-33338.257999999994,0.455885675603456,0.3404163882090029,0.11546928739445311
120000.0,0.0,767.2829538461538,3850.8271999999924,-34715.758,0.45614168972219044,0.338802296117659,0.11733939360453144
125000.0,0.0,796.3598769230769,3671.3271999999924,-36029.258,0.4567013912554384,0.33731968329477696,0.11938170796066144
130000.0,0.0,821.6064,3129.465600000003,-37555.734,0.4552757621934975,0.3343941391941392,0.12088162299935834
135000.0,0.0,844.2217846153846,2313.965600000003,-39253.234,0.4525328481524815,0.3306584073995963,0.12187444075288523
140000.0,0.0,866.8371692307692,1498.4656000000032,-40950.734,0.44996339242932437,0.32719384454574485,0.12276954788357952
145000.0,0.0,889.4525538461538,682.9656000000032,-42648.234,0.44755144542230524,0.32397195931747497,0.12357948610483027
150000.0,0.0,912.0679384615383,-132.53440000001137,-44345.73400000001,0.44528295481217894,0.3209681167266722,0.12431483808550675
155000.0,0.0,934.6833230769232,-948.0343999999823,-46043.23399999999,0.4431454915958917,0.31816090701997857,0.12498458457591316
160000.0,0.0,957.2987076923077,-1763.5343999999968,-47740.734,0.44112802226042575,0.31553163459344336,0.1255963876669824
165000.0,0.0,979.9140923076922,-2579.0344000000114,-49438.23400000001,0.43922071827847614,0.3130639011083532,0.12615681717012295
170000.0,0.0,1002.5294769230768,-3394.5344000000186,-51135.73400000001,0.43741479598258104,0.3107432631553849,0.12667153282719612
175000.0,0.0,1025.1448615384616,-4210.034399999997,-52833.234,0.4357023813123986,0.30855694936445094,0.12714543194794764
180000.0,0.0,1047.760246153846,-5025.534400000019,-54530.73400000001,0.4340763950412696,0.3064936252559573,0.1275827697853123
185000.0,0.0,1069.6351384615384,-5949.045600000012,-56307.36600000001,0.43212712786826657,0.3043325118732354,0.12779461599503117
190000.0,0.0,1087.4043692307691,-7578.545600000012,-58629.86600000001,0.4277492374727669,0.3011494599603758,0.1265997775123911
195000.0,0.0,1105.1735999999999,-9208.045600000027,-60952.36600000002,0.42359577650098207,0.29813153493390876,0.1254642415670733
200000.0,0.0,1122.9428307692308,-10837.545599999983,-63274.86599999999,0.4196499184315868,0.29526621225298844,0.12438370617859834
