higher_gross,lower_gross,line_7e,order_pct_payor_net,over_40pct_of_net
60000.0,0.0,0.36792360639844884,0.4463923377441713,1
65000.0,0.0,0.3667188069594035,0.4479925881952217,1
70000.0,0.0,0.36569180095625997,0.452244533260334,1
75000.0,0.0,0.3648059370018141,0.457175271474704,1
80000.0,0.0,0.36403399002108944,0.46158061633784453,1
85000.0,0.0,0.3633553139045962,0.4655402949030535,1
90000.0,0.0,0.36013301125746316,0.4657292212480659,1
95000.0,0.0,0.3570211892544522,0.46559186869574387,1
100000.0,0.0,0.35422766662575184,0.46546658064516133,1
105000.0,0.0,0.35170598263983494,0.4653518344223774,1
110000.0,0.0,0.3494182992465016,0.46524635324643226,1
115000.0,0.0,0.3473334894115143,0.46514905851964017,1
120000.0,0.0,0.3454257124418328,0.4650590328112495,1
125000.0,0.0,0.3436733374604933,0.4653036840973382,1
130000.0,0.0,0.3404991452991453,0.4635876940782814,1
135000.0,0.0,0.33653349401946314,0.460573380683136,1
140000.0,0.0,0.3328557010539763,0.45774968854815523,1
145000.0,0.0,0.3294355215600571,0.455099089928249,1
150000.0,0.0,0.32624680436371506,0.4526061420886105,1
155000.0,0.0,0.32326682202613183,0.45025718623066513,1
160000.0,0.0,0.3204757283030349,0.44804009712351345,1
165000.0,0.0,0.31785611560295884,0.44594407375003764,1
170000.0,0.0,0.3153926515819842,0.44395946333727687,1
175000.0,0.0,0.3130717788428145,0.4420776127210387,1
180000.0,0.0,0.3108814653135618,0.44029074221613174,1
185000.0,0.0,0.30860031078330524,0.4381870511869292,1
190000.0,0.0,0.30530361091583047,0.4336497458242556,1
195000.0,0.0,0.3021779336390612,0.4293450421797087,1
200000.0,0.0,0.299210307234886,0.42525550101691023,1
205000.0,0.0,0.29638903947446293,0.42149837248692834,1
210000.0,0.0,0.29370356365876665,0.4179178916801359,1
215000.0,0.0,0.2911443063676186,0.41450188665357374,1
220000.0,0.0,0.28870257342811484,0.41169708788726117,1
225000.0,0.0,0.28637045123987714,0.4096136638425062,1
230000.0,0.0,0.2841407210972761,0.4076098254100219,1
235000.0,0.0,0.2820067845543125,0.40568109786810624,1
240000.0,0.0,0.27996259820662506,0.40382333578019497,1
245000.0,0.0,0.27800261653292907,0.40203269325279456,1
250000.0,0.0,0.2761217416573836,0.40030559735989046,1
255000.0,0.0,0.2743152790745518,0.39863872434738373,0
260000.0,0.0,0.2725788985273351,0.39702897828408684,0
265000.0,0.0,0.27073188107959995,0.3952154978208272,0
270000.0,0.0,0.268813552232563,0.3932568731150837,0
275000.0,0.0,0.2669655526389113,0.3915309602829272,0
280000.0,0.0,0.2651840843305828,0.390002962406035,0
285000.0,0.0,0.2634656179711703,0.38852090425386276,0
290000.0,0.0,0.2618068695180773,0.387082744721763,0
295000.0,0.0,0.2602047792761405,0.3856865618556636,0
300000.0,0.0,0.25865649306161925,0.3843305442827791,0
60000.0,5000.0,0.3671100511073254,0.4454052718370835,1
65000.0,5000.0,0.3660267441860465,0.4471471475274784,1
70000.0,5000.0,0.3650959126224524,0.45150760877722174,1
75000.0,5000.0,0.36428748159057445,0.45652554248364363,1
80000.0,5000.0,0.36357879774948176,0.46100345064716625,1
85000.0,5000.0,0.3612843436221644,0.462886913820888,1
90000.0,5000.0,0.3580506458131974,0.4630362761239145,1
95000.0,5000.0,0.3551536231884058,0.4631563729863181,1
100000.0,5000.0,0.35254329823450237,0.4632532662445953,1
105000.0,5000.0,0.35017911888955944,0.46333159910601845,1
110000.0,5000.0,0.34802783661119513,0.4633949686114639,1
115000.0,5000.0,0.34606193299324417,0.46344618998307874,1
120000.0,5000.0,0.344258436322781,0.46348748708261095,1
125000.0,5000.0,0.34193267326732674,0.46294697680127156,1
130000.0,5000.0,0.33786039924302547,0.4599950559871049,1
135000.0,5000.0,0.33408745148771024,0.45722577309528917,1
140000.0,5000.0,0.3305819976178322,0.4546228469875323,1
145000.0,5000.0,0.3273165644171779,0.4521718540832659,1
150000.0,5000.0,0.3242673163497695,0.4498599743980185,1
155000.0,5000.0,0.3214134727776069,0.4476757774349425,1
160000.0,5000.0,0.31873683373900946,0.44560904097620735,1
165000.0,5000.0,0.31622139140489497,0.4436505971341811,1
170000.0,5000.0,0.3138530096814928,0.4417922010740467,1
175000.0,5000.0,0.31161915841134236,0.44002641866289455,1
180000.0,5000.0,0.30950869161769257,0.43834652997807055,1
185000.0,5000.0,0.3064150670794633,0.43508418491864576,1
190000.0,5000.0,0.3032322264561786,0.4307075751052856,1
195000.0,5000.0,0.3002117359014119,0.4265513992408004,1
200000.0,5000.0,0.29734148263101345,0.42259941623635255,1
205000.0,5000.0,0.29461052958533934,0.4189691324548182,1
210000.0,5000.0,0.29200897615708277,0.4155066222111891,1
215000.0,5000.0,0.2895278382581648,0.41220052246258765,1
220000.0,5000.0,0.2871589446636025,0.40949583467506223,1
225000.0,5000.0,0.2848948471121177,0.4075030144702133,1
230000.0,5000.0,0.2827287420795679,0.4055842920099935,1
235000.0,5000.0,0.2806544024944079,0.4037356275147376,1
240000.0,5000.0,0.27866611795161134,0.4019532681900721,1
245000.0,5000.0,0.2767586422161529,0.4002337233324824,1
250000.0,5000.0,0.2749271469997769,0.3985737419647091,0
255000.0,5000.0,0.2731671811535337,0.39697029270841494,0
260000.0,5000.0,0.271407189482394,0.39532230749088704,0
265000.0,5000.0,0.2694637960067356,0.39336434208936055,0
270000.0,5000.0,0.2675921017679525,0.39146996993855737,0
275000.0,5000.0,0.2657882107459572,0.38980427383453314,0
280000.0,5000.0,0.26404850417010617,0.38833287866871946,0
285000.0,5000.0,0.2623696162881754,0.3869046798363468,0
290000.0,5000.0,0.2607484126329677,0.3855178110093206,0
295000.0,5000.0,0.2591819704912717,0.3841705112866877,0
300000.0,5000.0,0.25766756131912516,0.38286111790050487,0
60000.0,10000.0,0.3660267441860465,0.4440909231498171,1
65000.0,10000.0,0.3650959126224524,0.446010021114994,1
70000.0,10000.0,0.3642874815905744,0.4505078365271227,1
75000.0,10000.0,0.3635787977494818,0.4556374189785713,1
80000.0,10000.0,0.3612843436221644,0.4580941740980596,1
85000.0,10000.0,0.35805064581319745,0.4587438159384415,1
90000.0,10000.0,0.35515362318840576,0.45928980454589613,1
95000.0,10000.0,0.35254329823450237,0.4597522442965646,1
100000.0,10000.0,0.35017911888955944,0.46014665832149043,1
105000.0,10000.0,0.3480278366111951,0.4604851785046879,1
110000.0,10000.0,0.34606193299324417,0.4607773910802985,1
115000.0,10000.0,0.344258436322781,0.4610309469849717,1
120000.0,10000.0,0.34193267326732674,0.4603562288173484,1
125000.0,10000.0,0.33786039924302547,0.4574334734257614,1
130000.0,10000.0,0.33408745148771024,0.4548582085855416,1
135000.0,10000.0,0.3305819976178322,0.45242827516902,1
140000.0,10000.0,0.3273165644171779,0.45013215920348276,1
145000.0,10000.0,0.3242673163497695,0.4479594667430318,1
150000.0,10000.0,0.32141347277760696,0.4459008026542828,1
155000.0,10000.0,0.31873683373900946,0.4439476622064128,1
160000.0,10000.0,0.31622139140489497,0.4420923346295115,1
165000.0,10000.0,0.3138530096814928,0.4403278176056968,1
170000.0,10000.0,0.3116191584113424,0.43864774160076225,1
175000.0,10000.0,0.3095086916176925,0.43704630296766234,1
180000.0,10000.0,0.3064150670794633,0.43396513579395224,1
185000.0,10000.0,0.3032322264561786,0.4305648131021526,1
190000.0,10000.0,0.30021173590141187,0.42641730497906605,1
195000.0,10000.0,0.29734148263101345,0.4224732423859797,1
200000.0,10000.0,0.29461052958533934,0.4187180231906908,1
