childcare_wk,payor_gross_mid,kept_of_next_dollar
0.0,102500.0,0.3626523271715152
0.0,107500.0,0.36781617343079415
0.0,112500.0,0.3722931187829643
0.0,117500.0,0.37619982042498157
0.0,122500.0,0.37322917916003645
0.0,127500.0,0.3723559175871298
0.0,132500.0,0.365340687736636
0.0,137500.0,0.36773313512952155
0.0,142500.0,0.369874211652347
0.0,147500.0,0.37179794059496196
0.0,152500.0,0.37353277729765977
0.0,157500.0,0.40569777958350023
0.0,162500.0,0.4184833231346827
0.0,167500.0,0.4202844650283747
0.0,172500.0,0.421929225219824
0.0,177500.0,0.4234351980141073
0.0,182500.0,0.4310175710189564
0.0,187500.0,0.4880895096749824
0.0,192500.0,0.48926247196695766
0.0,197500.0,0.49034646743797927
0.0,202500.0,0.45735027149402596
0.0,207500.0,0.4582816036067059
0.0,212500.0,0.4591472762013786
0.0,217500.0,0.4429533196152886
0.0,222500.0,0.42070508742269014
0.0,227500.0,0.3888073455748614
0.0,232500.0,0.38409870280988107
0.0,237500.0,0.39751267145400926
0.0,242500.0,0.39817122579262065
0.0,247500.0,0.3987899102749245
0.0,252500.0,0.3993718796109519
0.0,257500.0,0.39991998254188804
0.0,262500.0,0.4004367967728409
0.0,267500.0,0.40092465933939675
0.0,272500.0,0.39336069307773724
0.0,277500.0,0.3868218297593237
0.0,282500.0,0.3732848303619656
0.0,287500.0,0.3726263028754911
0.0,292500.0,0.37299771797858994
0.0,297500.0,0.37335042287311515
0.0,302500.0,0.37368565351899596
0.0,307500.0,0.3740045454778068
0.0,312500.0,0.37430814354286995
0.0,317500.0,0.37459741030868027
0.0,322500.0,0.37487323381103344
0.0,327500.0,0.3751364343513269
0.0,332500.0,0.3903877706031082
0.0,337500.0,0.4006279450857895
0.0,342500.0,0.40085760907950463
0.0,347500.0,0.4010773670452705
0.0,352500.0,0.40128778060658954
0.0,357500.0,0.40148937214160685
0.0,362500.0,0.40168262802858956
0.0,367500.0,0.4018680015825958
0.0,372500.0,0.40204591571639176
0.0,377500.0,0.40221676535489387
0.0,382500.0,0.40238091962867184
0.0,387500.0,0.4025387238696916
0.0,392500.0,0.40269050142900087
0.0,397500.0,0.4028365553346055
300.0,102500.0,0.33613237720726613
300.0,107500.0,0.34325070359479726
300.0,112500.0,0.3494737445511419
300.0,117500.0,0.35494676423114285
300.0,122500.0,0.35338652433816314
300.0,127500.0,0.35378777684610396
300.0,132500.0,0.347928086970032
300.0,137500.0,0.3513714614527853
300.0,142500.0,0.35447110997110864
300.0,147500.0,0.3572715693495673
300.0,152500.0,0.35981035381002147
300.0,157500.0,0.3927143604196535
300.0,162500.0,0.40618077634686195
300.0,167500.0,0.40861059995776305
300.0,172500.0,0.4108370523814665
300.0,177500.0,0.412882296929002
300.0,182500.0,0.4209655480609974
300.0,187500.0,0.4785035313258006
300.0,192500.0,0.4801108615194913
300.0,197500.0,0.4816003553088667
300.0,202500.0,0.448983291011519
300.0,207500.0,0.45026962552069455
300.0,212500.0,0.4514681762848661
300.0,217500.0,0.4355867746431148
300.0,222500.0,0.41363239556562914
300.0,227500.0,0.3820112678669626
300.0,232500.0,0.37756332285975513
300.0,237500.0,0.391223270996756
300.0,242500.0,0.39211417403413507
300.0,247500.0,0.39295256527765016
300.0,252500.0,0.3937425002195203
300.0,257500.0,0.3944876495574281
300.0,262500.0,0.3951913422623562
300.0,267500.0,0.39585660311733084
300.0,272500.0,0.388461185524796
300.0,277500.0,0.38208260025304336
300.0,282500.0,0.36869814068684936
300.0,287500.0,0.36818490506053203
300.0,292500.0,0.3686948160791304
300.0,297500.0,0.36917963827301864
300.0,302500.0,0.3696409933806368
300.0,307500.0,0.3700803740116098
300.0,312500.0,0.37049915580683734
300.0,317500.0,0.3708986082816118
300.0,322500.0,0.37127990451263615
300.0,327500.0,0.3716441298077232
300.0,332500.0,0.38699228947873343
300.0,337500.0,0.39732531582214287
300.0,342500.0,0.39764407439846544
300.0,347500.0,0.39794936968989786
300.0,352500.0,0.39824195020567277
300.0,357500.0,0.3985225130957959
300.0,362500.0,0.39879170832685196
300.0,367500.0,0.39905014246651554
300.0,372500.0,0.3992983821183327
300.0,377500.0,0.3995369570431998
300.0,382500.0,0.3997663629998162
300.0,387500.0,0.39998706433261394
300.0,392500.0,0.40019949633267243
300.0,397500.0,0.4004040673939453
