higher_gross,lower_gross,order_wk,gap_household,gap_per_person,order_pct_payor_net,line_7e,lag
60000.0,0.0,340.5887692307692,-12188.768000000004,-23995.845333333335,0.3719936147868095,0.30660300533204066,0.06539060945476882
65000.0,0.0,368.858,-13016.267999999996,-25803.34533333333,0.3733271568293514,0.3055990057995029,0.06772815102984853
70000.0,0.0,397.1272307692308,-13493.767999999996,-27260.84533333333,0.37687044438361167,0.30474316746354996,0.07212727692006171
75000.0,0.0,425.3964615384615,-13821.268000000007,-28568.34533333334,0.38097939289558663,0.3040049475015117,0.07697444539407494
80000.0,0.0,453.6656923076923,-14148.767999999996,-29875.84533333333,0.3846505136148704,0.3033616583509079,0.08128885526396251
85000.0,0.0,481.934923076923,-14476.268000000011,-31183.34533333334,0.3879502457525445,0.3027960949204968,0.08515415083204769
90000.0,0.0,506.5178461538461,-15187.144000000004,-32746.429333333333,0.3881076843733883,0.30011084271455263,0.08799684165883565
95000.0,0.0,530.7486153846154,-15934.644,-34333.92933333333,0.38799322391311986,0.29751765771204347,0.09047556620107639
100000.0,0.0,554.9793846153846,-16682.144000000004,-35921.42933333333,0.387888817204301,0.2951897221881265,0.09269909501617452
105000.0,0.0,579.2101538461537,-17429.644000000015,-37508.92933333334,0.3877931953519811,0.2930883188665291,0.094704876485452
110000.0,0.0,603.4409230769229,-18177.144000000015,-39096.42933333334,0.38770529437202683,0.29118191603875127,0.09652337833327557
115000.0,0.0,627.6716923076923,-18924.644,-40683.92933333333,0.38762421543303344,0.28944457450959526,0.09817964092343817
120000.0,0.0,651.9024615384615,-19672.144,-42271.42933333333,0.38754919400937465,0.287854760368194,0.09969443364118064
125000.0,0.0,676.1332307692307,-20355.644,-43794.92933333333,0.3877530700811152,0.2863944478837444,0.1013586221973708
130000.0,0.0,697.172,-21335.111999999994,-45503.74133333333,0.38632307839856783,0.28374928774928776,0.10257379064928007
135000.0,0.0,716.0181538461538,-22542.611999999994,-47364.57466666666,0.38381115056928006,0.2804445783495526,0.10336657221972745
140000.0,0.0,734.8643076923076,-23750.11200000001,-49225.408,0.3814580737901293,0.2773797508783136,0.10407832291181568
145000.0,0.0,753.7104615384615,-24957.61200000001,-51086.24133333334,0.3792492416068741,0.2745296013000476,0.10471964030682651
150000.0,0.0,772.5566153846153,-26165.112000000016,-52947.07466666668,0.3771717850738421,0.27187233696976254,0.10529944810407954
155000.0,0.0,791.4027692307693,-27372.611999999994,-54807.907999999996,0.3752143218588876,0.26938901835510987,0.10582530350377772
160000.0,0.0,810.2489230769231,-28580.111999999994,-56668.74133333333,0.37336674760292793,0.26706310691919577,0.10630364068373216
165000.0,0.0,829.0950769230768,-29787.612000000016,-58529.57466666668,0.37162006145836474,0.26488009633579906,0.10673996512256567
170000.0,0.0,847.9412307692306,-30995.112000000016,-60390.40800000001,0.3699662194477307,0.26282720965165346,0.10713900979607727
175000.0,0.0,866.7873846153847,-32202.611999999994,-62251.24133333333,0.3683980106008656,0.26089314903567873,0.10750486156518685
180000.0,0.0,885.6335384615384,-33410.112000000016,-64112.07466666668,0.36690895184677647,0.25906788776130146,0.107841064085475
185000.0,0.0,903.8626153846152,-34712.78800000001,-66046.69200000001,0.3651558759891076,0.25716692565275434,0.10798895033635325
190000.0,0.0,918.6703076923076,-36650.28800000001,-68497.52533333334,0.3613747881868796,0.2544196757631921,0.10695511242368755
195000.0,0.0,933.478,-38587.788,-70948.35866666667,0.3577875351497573,0.25181494469921767,0.10597259045053964
200000.0,0.0,948.2856923076922,-40525.28800000001,-73399.19200000001,0.35437958418075843,0.24934192269573832,0.10503766148502011
205000.0,0.0,963.0933846153846,-42417.788,-75805.02533333334,0.35124864373910697,0.2469908662287191,0.10425777751038787
210000.0,0.0,977.9010769230769,-44310.288,-78210.85866666667,0.34826490973344654,0.24475296971563887,0.10351194001780767
215000.0,0.0,992.7087692307692,-46202.788,-80616.692,0.3454182388779781,0.24262025530634881,0.10279798357162931
220000.0,0.0,1007.5164615384614,-47925.28800000001,-82852.52533333334,0.3430809065727176,0.24058547785676235,0.10249542871595527
225000.0,0.0,1022.3241538461539,-49417.788,-84858.35866666667,0.3413447198687552,0.23864204269989764,0.10270267716885756
230000.0,0.0,1037.131846153846,-50910.28800000001,-86864.19200000001,0.33967485450835155,0.2367839342477301,0.10289092026062147
235000.0,0.0,1051.9395384615384,-52402.788,-88870.02533333334,0.3380675815567552,0.23500565379526042,0.10306192776149478
240000.0,0.0,1066.7472307692308,-53895.288,-90875.85866666667,0.3365194464834958,0.23330216517218755,0.10321728131130825
245000.0,0.0,1081.5549230769232,-55387.78799999999,-92881.692,0.33502724437732884,0.23166884711077426,0.10335839726655457
250000.0,0.0,1096.3626153846153,-56880.288,-94887.52533333334,0.3335879977999087,0.230101451381153,0.10348654641875571
255000.0,0.0,1111.1703076923077,-58372.788,-96893.35866666667,0.33219893695615305,0.22859606589545978,0.10360287106069327
260000.0,0.0,1125.9779999999998,-59865.28800000001,-98899.19200000001,0.3308574819034057,0.22714908210611254,0.10370839979729315
265000.0,0.0,1140.0415384615383,-61435.18000000002,-100956.62000000001,0.3293462481840227,0.2256099008996666,0.1037363472843561
270000.0,0.0,1153.5030769230768,-63067.68,-103055.78666666667,0.3277140609292364,0.2240112935271358,0.10370276740210058
275000.0,0.0,1166.9646153846154,-64619.92999999999,-105074.70333333332,0.3262758002357727,0.22247129386575942,0.10380450637001326
280000.0,0.0,1180.4261538461537,-66102.43,-107023.87,0.32500246867169574,0.22098673694215232,0.10401573172954343
285000.0,0.0,1193.887692307692,-67584.93000000002,-108973.03666666668,0.32376742021155225,0.21955468164264189,0.10421273856891036
290000.0,0.0,1207.3492307692306,-69067.43,-110922.20333333334,0.3225689539348025,0.2181723912650644,0.1043965626697381
295000.0,0.0,1220.8107692307692,-70549.93,-112871.37,0.32140546821305294,0.21683731606345044,0.1045681521496025
300000.0,0.0,1234.2723076923075,-72032.43000000004,-114820.5366666667,0.32027545356898246,0.21554707755134936,0.1047283760176331
60000.0,5000.0,339.83565692569783,-7679.591679727426,-22518.894453151617,0.3711710598642362,0.30592504258943787,0.06524601727479834
65000.0,5000.0,368.16190019379843,-8501.162379844965,-24322.44158656331,0.37262262293956533,0.3050222868217054,0.06760033611785993
70000.0,5000.0,396.48011895749784,-8973.567628420224,-25776.54508561348,0.37625634064768476,0.30424659385204367,0.0720097467956411
75000.0,5000.0,424.7918960009063,-9296.64281590574,-27081.095210603824,0.380437952069703,0.30357290132547865,0.07686505074422434
80000.0,5000.0,453.09842352869714,-9620.2639530155,-28386.00930201033,0.38416954220597177,0.3029823314579015,0.08118721074807028
85000.0,5000.0,479.18809960808994,-10174.437640758642,-29844.625093839095,0.38573909485074,0.30107028635180366,0.08466880849893632
90000.0,5000.0,503.5890525504721,-10904.238534750908,-31420.32568983394,0.3858635634365954,0.29837553817766455,0.08748802525893085
