lower_gross,payor_3c,box2_7d,box1_7d,variantA_7d,variantB_7d,reduction_current,reduction_A,reduction_B,implied_share_1.5,implied_share_2.0
150000.0,0.572727691846661,939.4750147760539,238.59802955210785,238.59802955210785,178.94852216408094,0.7460304682940575,0.7460304682940575,0.809522851220543,0.47575743605111304,0.5
148000.0,0.5760473905079874,941.1983367451215,248.506211951782,248.506211951782,186.3796589638365,0.7359682839950896,0.7359682839950896,0.8019762129963172,0.47465086983067095,0.5
146000.0,0.5794057974394253,942.9417529513698,258.4545828258166,258.4545828258166,193.84093711936248,0.7259060996961222,0.7259060996961222,0.7944295747720915,0.47353140085352485,0.5
144000.0,0.5828035936290492,944.7056169093274,268.44384920327025,268.44384920327025,201.33288690245274,0.7158439153971545,0.7158439153971545,0.7868829365478658,0.47239880212365015,0.49999999999999994
142000.0,0.5862414761331729,946.490290474868,278.47473479588996,278.47473479588996,208.85605109691755,0.7057817310981869,0.7057817310981869,0.77933629832364,0.4712528412889424,0.5
140000.0,0.5897201585530845,948.2961440926925,288.5479804930775,288.5479804930775,216.41098536980803,0.6957195467992191,0.6957195467992191,0.7717896600994144,0.4700932804823052,0.5
138000.0,0.5932403715288556,950.1235570526751,298.6643448745807,298.6643448745807,223.9982586559355,0.6856573625002514,0.6856573625002514,0.7642430218751886,0.4689198761570481,0.49999999999999994
136000.0,0.5968028632509428,951.9729177554449,308.82460474165885,308.82460474165885,231.61845355624416,0.6755951782012839,0.6755951782012839,0.7566963836509629,0.46773237891635233,0.5
134000.0,0.6004083999903337,953.8446239875973,319.02955566750234,319.02955566750234,239.2721667506267,0.6655329939023165,0.6655329939023165,0.7491497454267374,0.4665305333365555,0.5
132000.0,0.604057766648027,955.7390832069393,329.2800125677246,329.2800125677246,246.9600094257935,0.6554708096033486,0.6554708096033486,0.7416031072025114,0.4653140777839909,0.49999999999999994
130000.0,0.6077517673246741,957.6567128382002,339.576810291785,339.576810291785,254.68260771883877,0.645408625304381,0.645408625304381,0.7340564689782858,0.46408274422510865,0.5
128000.0,0.61149122591125,959.5979405796634,349.9208042362501,349.9208042362501,262.4406031771876,0.6353464410054134,0.6353464410054134,0.7265098307540601,0.4628362580295833,0.5
126000.0,0.6152769867016666,961.5632047211844,360.31287098083067,360.31287098083067,270.234653235623,0.6252842567064458,0.6252842567064458,0.7189631925298343,0.4615743377661111,0.5
124000.0,0.6191099150282824,963.5529544740972,370.75390894819463,370.75390894819463,278.06543171114595,0.6152220724074782,0.6152220724074782,0.7114165543056087,0.4602966949905726,0.5
122000.0,0.6229908979213159,965.5676503135287,381.2448390885961,381.2448390885961,285.9336293164471,0.6051598881085107,0.6051598881085107,0.703869916081383,0.45900303402622805,0.5
120000.0,0.6269208447932174,967.6077643336703,391.7866055904176,391.7866055904176,293.8399541928132,0.5950977038095431,0.5950977038095431,0.6963232778571573,0.45769305173559427,0.5
118000.0,0.6309006881491074,969.6737806165801,402.3801766177754,402.3801766177754,301.7851324633315,0.5850355195105754,0.5850355195105754,0.6887766396329317,0.4563664372836308,0.49999999999999994
116000.0,0.6349313843244486,971.766195615123,413.0265450764,413.0265450764,309.76990880729994,0.5749733352116079,0.5749733352116079,0.6812300014087059,0.4550228718918505,0.5
114000.0,0.6390139142511767,973.8855185506862,423.7267294090648,423.7267294090648,317.7950470567986,0.5649111509126401,0.5649111509126401,0.6736833631844801,0.45366202858294113,0.5
112000.0,0.6431492842535786,976.0322718263333,434.48177442189706,434.48177442189706,325.86133081642276,0.5548489666136727,0.5548489666136727,0.6661367249602546,0.45228357191547375,0.49999999999999994
110000.0,0.6473385268752768,978.2069914561091,445.2927521429874,445.2927521429874,333.9695641072406,0.5447867823147049,0.5447867823147049,0.6585900867360286,0.45088715770824106,0.5
108000.0,0.6515827017387428,980.4102275112315,456.1607627147707,456.1607627147707,342.1205720360781,0.5347245980157372,0.5347245980157372,0.6510434485118028,0.4494724327537524,0.5
106000.0,0.6558828964388479,982.6425445839501,467.0869353217463,467.0869353217463,350.3152014913097,0.5246624137167697,0.5246624137167697,0.6434968102875773,0.44803903452038396,0.5
104000.0,0.660240227472031,984.9045222698961,478.0724291551769,478.0724291551769,358.5543218663827,0.514600229417802,0.514600229417802,0.6359501720633515,0.4465865908426563,0.5
102000.0,0.6646558412027501,987.1967556697869,489.1184344164971,489.1184344164971,366.8388258123729,0.5045380451188343,0.5045380451188343,0.6284035338391256,0.44511471959908333,0.5
100000.0,0.6691309148689775,989.5198559113987,500.2261733612593,500.2261733612593,375.1696300209445,0.4944758608198667,0.4944758608198667,0.6208568956149001,0.4436230283770076,0.5
98000.0,0.6736666576285892,991.8744506927685,511.39690138553715,511.39690138553715,383.5476760391528,0.4844136765208992,0.4844136765208992,0.6133102573906745,0.4421111141238036,0.5
96000.0,0.6782643116486037,994.2611848476383,522.6319081568155,522.6319081568155,391.9739311176116,0.4743514922219314,0.4743514922219314,0.6057636191664486,0.44057856278379876,0.5
94000.0,0.6829251532393282,996.6807209342154,533.9325187915078,533.9325187915078,400.4493890936309,0.46428930792296386,0.46428930792296386,0.5982169809422229,0.4390249489202239,0.5
92000.0,0.6876504940355926,999.1337398483722,545.3000950813598,545.3000950813598,408.97507131102,0.4542271236239964,0.4542271236239964,0.5906703427179971,0.4374498353214691,0.5
90000.0,0.6924416822273627,1001.6209414624838,556.7360367711216,556.7360367711216,417.55202757834127,0.44416493932502865,0.44416493932502865,0.5831237044937714,0.4358527725908791,0.5
88000.0,0.6973001038421599,1004.1430452911575,568.2417828900072,568.2417828900072,426.18133716750543,0.434102755026061,0.434102755026061,0.5755770662695457,0.43423329871928,0.5
86000.0,0.7022271840818518,1006.7007911851865,579.8188131396034,579.8188131396034,434.8641098547026,0.42404057072709356,0.42404057072709356,0.5680304280453201,0.4325909386393827,0.5
84000.0,0.7072243887165182,1009.2949400551342,591.4686493410377,591.4686493410377,443.6014870057783,0.4139783864281259,0.4139783864281259,0.5604837898210944,0.4309252037611606,0.5
82000.0,0.7122932255382586,1011.9262746260362,603.19285694438,603.19285694438,452.394642708285,0.40391620212915835,0.40391620212915835,0.5529371515968687,0.4292355914872471,0.5
80000.0,0.7174352458779705,1014.5956002247875,614.9930466034209,614.9930466034209,461.24478495256574,0.3938540178301908,0.3938540178301908,0.5453905133726431,0.4275215847073431,0.49999999999999994
78000.0,0.7226520461883017,1017.3037456018865,626.8708758191577,626.8708758191577,470.1531568643683,0.3837918335312229,0.3837918335312229,0.5378438751484171,0.42578265127056614,0.5
76000.0,0.7279452696961707,1020.0515637892913,734.7231877928676,638.8280506555061,479.1210379916296,0.27971956136853005,0.37372964923225516,0.5302972369241914,0.37839544425852967,0.4657829006179399
74000.0,0.7333166081284496,1022.8399329962559,748.5575425669094,650.8663275309736,488.14974564823024,0.26815768682972463,0.3636674649332877,0.5227505986999659,0.375535192942513,0.46498054673899714
72000.0,0.7387678035146145,1025.669757545122,762.2618629592419,662.987515090244,497.2406363176831,0.25681550289279353,0.3536052806343202,0.51520396047574,0.3727406178252783,0.4642474142476123
70000.0,0.7443006500703994,1028.5419688491609,775.8361489698643,675.1934761598604,506.3951071198953,0.24569325076938764,0.3435430963353525,0.5076573222515144,0.37001331420050965,0.46358514816798213
