children,lower_gross,payor_3c,rule1_current,rule2_post_gross
1,0.0,1.0,1.0,0.828099303482587
1,2500.0,0.9960711207328563,0.9960711207328563,0.8181861137394097
1,5000.0,0.9837464364903389,0.9837464364903382,0.8090624417152821
1,7500.0,0.9717230185579914,0.971723018557991,0.8001381025710358
1,10000.0,0.9599899540203237,0.959989954020324,0.7914067075794042
1,12500.0,0.9485368507454139,0.9485368507454143,0.7828621343988794
1,15000.0,0.9373538066852788,0.937353806685279,0.7744985135720494
1,17500.0,0.9264313813225944,0.9264313813225943,0.7664310396171501
1,20000.0,0.915760569090708,0.9157605690907076,0.7606737405225626
1,22500.0,0.9053327746096526,0.9053327746096521,0.7579137418958334
1,25000.0,0.8951397895950426,0.8951397895950424,0.7516552587735569
1,27500.0,0.8851737713094749,0.8851737713094746,0.7455639973900852
1,30000.0,0.8754272224375462,0.8754272224375462,0.7396345284681844
1,32500.0,0.865892972275951,0.8658929722759513,0.7338616552478472
1,35000.0,0.8565641591394885,0.8565641591394888,0.7282404011707607
1,37500.0,0.8474342138922524,0.847434213892252,0.7227659983393389
1,40000.0,0.8384968445209409,0.8384968445209404,0.717433876694069
1,42500.0,0.829746021674153,0.8297460216741525,0.7122396538575543
1,45000.0,0.8211759650978319,0.821175965097832,0.7071791255978206
1,47500.0,0.8127811309027267,0.812781130902726,0.7022482568672788
1,50000.0,0.804556199604935,0.8045561996049355,0.6974431733772082
1,52500.0,0.7964960648853127,0.7964960648853129,0.69276015367079
1,55000.0,0.7885958230178379,0.788595823017838,0.6881956216606125
1,57500.0,0.7808507629209422,0.7808507629209419,0.6837461395992027
1,60000.0,0.7732563567893933,0.7732563567893925,0.67940840145355
1,62500.0,0.7658082512675882,0.7658082512675878,0.6751792266567921
1,65000.0,0.7585022591280987,0.7585022591280983,0.6711080332394045
1,67500.0,0.7513343514220482,0.7513343514220481,0.6671477618760289
1,70000.0,0.7443006500703994,0.7443006500703996,0.6632837643945859
1,72500.0,0.7373974208675264,0.737397420867527,0.6595134007434685
1,75000.0,0.7306210668705523,0.7306210668705524,0.6558341265251136
1,77500.0,0.7239681221498608,0.7239681221498608,0.6517219404904563
1,80000.0,0.7174352458779705,0.7174352458779708,0.6475605015603756
1,82500.0,0.7110192167355875,0.7110192167355877,0.6434592114673199
1,85000.0,0.7047169276151577,0.7047169276151578,0.63941684200755
1,87500.0,0.698525380603624,0.6985253806036235,0.6354321953862112
1,90000.0,0.6924416822273627,0.6924416822273622,0.631504103436225
1,92500.0,0.6864630389434566,0.686463038943457,0.6276314268501297
1,95000.0,0.6805867528625431,0.6805867528625436,0.6238130544257072
1,97500.0,0.6748102176894768,0.674810217689477,0.6200479023260669
1,100000.0,0.6691309148689775,0.6691309148689777,0.6163349133547193
1,102500.0,0.6635464099242859,0.6635464099242858,0.61267305624604
