payor_income,share_no_child_care,share_100_per_child_per_week,share_200_per_child_per_week,share_430_per_child_per_week
50000,0.43424671324292,0.6799012151634352,0.9255557170839503,1.490561071501135
52500,0.43601733589074326,0.6750289469142079,0.9140405579376725,1.4637672632916412
55000,0.4376212387149026,0.6703006994298483,0.9029801601447939,1.4381429197891689
57500,0.43908028550667894,0.6657224163356343,0.8923645471645897,1.4136414480711872
60000,0.43863724148869204,0.6595209421898833,0.8804046428910747,1.3884371545038146
62500,0.43816296000928295,0.6535515528840272,0.8689401457587712,1.3643339093706826
65000,0.4376732259998508,0.6478150124438686,0.8579567988878863,1.3412829077091273
67500,0.4379959326460284,0.6435107366492935,0.8490255406525588,1.3217095898600684
70000,0.43945760231016345,0.641073708748615,0.8426898151870668,1.3064068599955057
72500,0.4407988367294458,0.6386317854301053,0.8364647341307648,1.2914805161422818
75000,0.44203239368033614,0.6361959499204013,0.8303595061604663,1.2769356855126164
77500,0.44316939007037465,0.6337749867940079,0.824380583517641,1.2627734559819974
80000,0.44421954861123925,0.6313758895162973,0.8185322304213554,1.2489918145029892
82500,0.44519140229092324,0.6290041890484102,0.8128169758058973,1.2355863853481173
85000,0.4460924647014451,0.626664219876185,0.8072359750509249,1.2225510119528267
87500,0.4469293725878013,0.6243593361849815,0.8017892997821617,1.2098782160556762
90000,0.4477080056786264,0.6220920881287886,0.7964761705789508,1.1975595602143239
92500,0.44843358784466797,0.6198643660154318,0.7912951441861955,1.185585933978952
95000,0.4491107728379154,0.6176775185892709,0.7862442643406262,1.1739477795687436
97500,0.4497437172401549,0.6155324503201249,0.781321183400095,1.1626352694840258
100000,0.4497122722563397,0.6128058311148342,0.7758993899733287,1.151014575347866
102500,0.44854929776196034,0.6090274232561111,0.7695055487502619,1.1386052373868087
105000,0.44740653529619895,0.6053459633567551,0.7632853914173111,1.1265460759565904
107500,0.4462843192990987,0.6017588794906892,0.7572334396822796,1.1148249281229379
110000,0.44518284284982207,0.5982635604389148,0.7513442780280077,1.1034299284829212
112500,0.44410218179151223,0.5948573814739876,0.7456125811564628,1.092349540426156
115000,0.44304231498753566,0.5915377248534226,0.7400331347193095,1.0815725774108493
117500,0.44200314135163515,0.5883019960014526,0.7346008506512702,1.0710882163458504
120000,0.4409844941813856,0.5851476361752295,0.7293107781690734,1.0608860047549145
122500,0.4400552948132093,0.5821636019319737,0.724271909050738,1.0511210154238961
125000,0.43931771943994335,0.5794817508748268,0.71964578230971,1.0420230546099418
127500,0.4385905874587735,0.5768598424796245,0.7151290975004754,1.033148384048433
130000,0.4378740748341665,0.5742963636846267,0.7107186525350868,1.0244899168911452
132500,0.43716830203848206,0.5717898072656001,0.7064113124927182,1.0160407745150897
135000,0.4364733419341461,0.5693386785989647,0.7022040152637832,1.0077942895928658
137500,0.43578922659293223,0.5669415011183269,0.6980937756437212,0.9997440070521287
140000,0.43511595320149243,0.5645968206770627,0.6940776881526329,0.9918836833464446
142500,0.4344534891800253,0.5623032089951687,0.6901529288103121,0.9842072843851422
145000,0.43380177662225694,0.5600592663399355,0.6863167560576141,0.976708982408275
147500,0.4331607361491436,0.5578636235661042,0.6825665109830646,0.9693831520420739
150000,0.4325302702553948,0.5557149436212059,0.678899616987017,0.9622243657283823
152500,0.4319102662166401,0.5536119226050745,0.6753135789935091,0.9552273886869084
155000,0.4313005986155084,0.5515532904585231,0.6718059823015377,0.9483871735404714
157500,0.43024501807709054,0.5490816978847404,0.6679183776923902,0.9412427412499849
160000,0.4287122641481491,0.5461648274478966,0.663617390747644,0.9337582863370634
162500,0.427211156253947,0.5433104827905236,0.6594098093271002,0.9264382603612265
165000,0.4257408166236458,0.5405168098663496,0.6552928031090536,0.9192775875672725
167500,0.4243003934128521,0.5377820184212888,0.6512636434297255,0.9122713809491301
170000,0.4228890603272284,0.5351043800293241,0.6473196997314199,0.9054149350462403
172500,0.42150601617516714,0.5324822261130573,0.6434584360509474,0.8987037189080948
175000,0.42015048436460756,0.5299139459649318,0.639677407565256,0.8921333692460017
177500,0.4188217123566963,0.5273979847820871,0.6359742572074778,0.8856996837858765
180000,0.4175189710869718,0.5249328417252392,0.6323467123635068,0.8793986148315222
182500,0.4162415543630313,0.5225170680098483,0.6287925816566653,0.8732262630443444
185000,0.4148888310597756,0.5200239906713392,0.6251591502829027,0.8669700173894991
187500,0.4131700422167265,0.5170897642501533,0.6210094862835801,0.8600248469604617
190000,0.41149030168566736,0.5142223081124443,0.6169543145392211,0.8532379293208079
192500,0.4098482978665438,0.5114193752163476,0.6129904525661516,0.8466039304707006
195000,0.40824277703829376,0.5086788179008742,0.6091148587634544,0.8401177527473892
197500,0.4066725402144191,0.5059985824725077,0.6053246247305962,0.8337745219242001
200000,0.40513644020034273,0.5033767041402867,0.6016169680802307,0.8275695751421018
202500,0.40369785094822164,0.5008912965538804,0.5980847421595391,0.8216296670525542
205000,0.40228923223195634,0.49845784629543616,0.594626460358916,0.8158142727049195
207500,0.40090966282028007,0.4960747497641947,0.5912398367081092,0.8101195366791127
210000,0.3995582585821439,0.4937404682587046,0.5879226779352652,0.8045417601913549
212500,0.3982341706539055,0.4914535247514089,0.5846728788489123,0.7990773932731701
215000,0.396936583712954,0.4892125008519357,0.5814884179909174,0.7937230274105755
217500,0.3956647143507244,0.48701603394648396,0.5783673535422436,0.7884753886124908
220000,0.39485689240721616,0.4854025846396444,0.5759482768720727,0.7842033690066577
222500,0.39413846730419555,0.48390976223932963,0.5736810571744636,0.780155035525272
225000,0.39343071366079996,0.4824404028085288,0.5714500919562576,0.776172376996034
227500,0.3927334201189385,0.48099399208483523,0.5692545640507319,0.7722538795722943
230000,0.39204637962432826,0.4795700290811734,0.5670936785380186,0.7683980722887623
232500,0.39136938940372773,0.478168025763352,0.5649666621229762,0.764603525750112
235000,0.390638468380544,0.47672372417573416,0.5628089799709242,0.7608050682998614
237500,0.38975162953502346,0.47513486852107073,0.5605181075071181,0.7568995571750268
240000,0.38887797005427116,0.4735702950395543,0.5582626200248374,0.7530549674909885
242500,0.3880172164568931,0.47202947687167945,0.556041737286466,0.749269936240475
245000,0.3871691019610489,0.470511901173482,0.5538547003859151,0.7455431385745112
247500,0.38633336632885085,0.46901706871685594,0.551700771104861,0.7418732865972729
250000,0.3855097557112657,0.46754449349887445,0.5495792312864831,0.7382591281979832
252500,0.3846980224939764,0.4660937023603223,0.5474893822266683,0.734699445919264
255000,0.3838979251445883,0.46466423461358425,0.5454305440825802,0.7311930558612705
257500,0.3831092280615123,0.46325564167996985,0.5434020552984276,0.7277388066208802
260000,0.3823317014248021,0.46186748673651207,0.541403272048222,0.7243355782651548
262500,0.3815651210491817,0.460499344372223,0.5394335676952643,0.7209822813382593
265000,0.38080926823945416,0.45915080025376415,0.537492332268074,0.7176778559009868
267500,0.3800639296484528,0.4578214508004474,0.535578971952442,0.7144212706020294
270000,0.37932889713766416,0.4565109028684659,0.5336929085992677,0.7112115217801117
272500,0.3786147384139937,0.45523172380571425,0.5318487091974347,0.7080677755983918
275000,0.37805199763017044,0.45414056110092044,0.5302291245716704,0.7052328205543954
277500,0.3774960621678992,0.4530632618297286,0.528630461491558,0.7024350207137658
280000,0.3769468212585717,0.45199957966213516,0.5270523380656987,0.6996736823938947
282500,0.37640416603915094,0.45094927344234575,0.5254943808455407,0.6969481278728888
285000,0.37586798953845446,0.4499121070856773,0.5239562246329001,0.6942576949915127
287500,0.3753381866612989,0.44888784947573074,0.5224375122901626,0.6916017367633557
290000,0.3748146541707686,0.4478762743620612,0.5209378945533538,0.6889796209933267
292500,0.37429729066884593,0.4468771602585419,0.519457029848238,0.6863907299045388
295000,0.37378599657561723,0.445890290342593,0.5179945841095688,0.683834459773613
297500,0.37328067410724985,0.4449154523554239,0.516550230603598,0.6813102205743984
300000,0.3727812272529153,0.44395243850341903,0.5151236497539227,0.6788174356300812
