childcare_wk,order_wk,line_7e,order_pct_payor_net
0.0,1012.7257303613252,0.2649460565232583,0.3766031600352484
10.0,1021.4939051213477,0.26723995827368174,0.37986378847922764
20.0,1030.2620798813705,0.2695338600241053,0.383124416923207
30.0,1039.030254641393,0.2718277617745288,0.3863850453671862
40.0,1047.7984294014157,0.27412166352495226,0.38964567381116555
50.0,1056.5666041614381,0.27641556527537575,0.3929063022551448
60.0,1065.3347789214608,0.27870946702579924,0.39616693069912406
70.0,1074.1029536814833,0.28100336877622273,0.3994275591431033
80.0,1082.871128441506,0.28329727052664627,0.4026881875870826
90.0,1091.6393032015285,0.2855911722770697,0.4059488160310618
100.0,1100.4074779615512,0.28788507402749325,0.4092094444750411
110.0,1109.1756527215737,0.2901789757779167,0.4124700729190203
120.0,1117.9438274815964,0.2924728775283402,0.4157307013629996
130.0,1126.7120022416188,0.29476677927876366,0.41899132980697884
140.0,1135.4801770016416,0.2970606810291872,0.4222519582509582
150.0,1144.248351761664,0.29935458277961063,0.4255125866949374
160.0,1153.0165265216867,0.3016484845300342,0.4287732151389167
170.0,1161.7847012817092,0.3039423862804576,0.4320338435828959
180.0,1170.552876041732,0.30623628803088115,0.43529447202687527
190.0,1179.3210508017544,0.3085301897813046,0.43855510047085444
200.0,1188.089225561777,0.31082409153172813,0.4418157289148338
210.0,1196.8574003217996,0.3131179932821516,0.445076357358813
220.0,1205.6255750818223,0.3154118950325751,0.4483369858027923
230.0,1214.3937498418447,0.3177057967829986,0.45159761424677153
240.0,1223.1619246018674,0.3199996985334221,0.45485824269075087
250.0,1231.93009936189,0.32229360028384557,0.45811887113473004
260.0,1240.6982741219126,0.32458750203426906,0.4613794995787094
270.0,1249.466448881935,0.32688140378469255,0.4646401280226886
280.0,1258.2346236419578,0.32917530553511604,0.4679007564666679
290.0,1267.0027984019803,0.3314692072855395,0.4711613849106472
300.0,1275.7709731620027,0.33376310903596296,0.47442201335462636
310.0,1284.5391479220254,0.3360570107863865,0.47768264179860565
320.0,1293.3073226820482,0.33835091253681004,0.480943270242585
330.0,1302.0754974420706,0.3406448142872335,0.48420389868656416
340.0,1310.843672202093,0.34293871603765697,0.48746452713054333
350.0,1319.6118469621158,0.34523261778808045,0.49072515557452273
360.0,1328.3800217221385,0.347526519538504,0.493985784018502
370.0,1337.148196482161,0.34982042128892743,0.4972464124624812
380.0,1345.9163712421835,0.3521143230393509,0.5005070409064605
390.0,1354.6845460022062,0.3544082247897744,0.5037676693504398
400.0,1363.4527207622289,0.35670212654019795,0.507028297794419
410.0,1372.2208955222513,0.3589960282906214,0.5102889262383984
420.0,1380.9890702822738,0.36128993004104487,0.5135495546823775
430.0,1389.7572450422965,0.36358383179146836,0.5168101831263568
440.0,1398.525419802319,0.36587773354189185,0.5200708115703361
450.0,1407.2935945623417,0.36817163529231534,0.5233314400143153
460.0,1416.0617693223642,0.3704655370427388,0.5265920684582946
470.0,1424.8299440823869,0.37275943879316237,0.5298526969022739
480.0,1433.5981188424093,0.3750533405435858,0.5331133253462531
490.0,1442.366293602432,0.37734724229400934,0.5363739537902324
500.0,1451.1344683624545,0.3796411440444328,0.5396345822342117
510.0,1459.9026431224772,0.3819350457948563,0.5428952106781909
520.0,1468.6708178824997,0.38422894754527975,0.5461558391221703
530.0,1477.4389926425224,0.3865228492957033,0.5494164675661495
540.0,1486.2071674025449,0.38881675104612673,0.5526770960101287
550.0,1494.9753421625676,0.3911106527965503,0.555937724454108
560.0,1503.74351692259,0.3934045545469737,0.5591983528980873
570.0,1512.5116916826128,0.39569845629739725,0.5624589813420665
580.0,1521.2798664426352,0.3979923580478207,0.5657196097860459
590.0,1530.048041202658,0.4002862597982442,0.5689802382300251
600.0,1538.8162159626804,0.4025801615486677,0.5722408666740043
610.0,1547.584390722703,0.40487406329909115,0.5755014951179835
620.0,1556.3525654827256,0.4071679650495147,0.5787621235619629
630.0,1565.1207402427483,0.4094618667999382,0.5820227520059421
640.0,1573.8889150027708,0.41175576855036167,0.5852833804499215
650.0,1582.6570897627932,0.4140496703007851,0.5885440088939006
660.0,1591.425264522816,0.41634357205120864,0.5918046373378799
670.0,1600.1934392828387,0.41863747380163213,0.5950652657818593
680.0,1608.9616140428611,0.4209313755520556,0.5983258942258384
690.0,1617.7297888028836,0.42322527730247905,0.6015865226698177
700.0,1626.4979635629063,0.4255191790529026,0.6048471511137969
710.0,1635.266138322929,0.42781308080332614,0.6081077795577763
720.0,1644.0343130829515,0.4301069825537496,0.6113684080017554
730.0,1652.802487842974,0.43240088430417306,0.6146290364457347
740.0,1661.5706626029967,0.43469478605459655,0.617889664889714
750.0,1670.3388373630194,0.4369886878050201,0.6211502933336933
760.0,1679.1070121230418,0.4392825895554435,0.6244109217776725
770.0,1687.8751868830643,0.441576491305867,0.6276715502216518
780.0,1696.643361643087,0.4438703930562905,0.6309321786656311
790.0,1705.4115364031097,0.44616429480671405,0.6341928071096105
800.0,1714.1797111631322,0.4484581965571375,0.6374534355535896
810.0,1722.9478859231547,0.45075209830756097,0.6407140639975689
820.0,1731.7160606831774,0.45304600005798445,0.6439746924415481
830.0,1740.4842354432,0.455339901808408,0.6472353208855275
840.0,1749.2524102032226,0.45763380355883143,0.6504959493295067
850.0,1758.020584963245,0.4599277053092549,0.653756577773486
860.0,1766.7887597232677,0.46222160705967846,0.6570172062174652
870.0,1775.5569344832902,0.4645155088101019,0.6602778346614445
880.0,1784.3251092433127,0.4668094105605254,0.6635384631054236
890.0,1793.0932840033354,0.4691033123109489,0.666799091549403
900.0,1801.861458763358,0.4713972140613724,0.6700597199933823
910.0,1810.6296335233806,0.47369111581179585,0.6733203484373614
920.0,1819.397808283403,0.47598501756221934,0.6765809768813408
930.0,1828.1659830434257,0.4782789193126428,0.67984160532532
940.0,1836.9341578034484,0.48057282106306637,0.6831022337692993
950.0,1845.702332563471,0.4828667228134898,0.6863628622132786
960.0,1854.4705073234934,0.4851606245639133,0.6896234906572578
970.0,1863.238682083516,0.4874545263143368,0.692884119101237
980.0,1872.0068568435388,0.4897484280647603,0.6961447475452164
990.0,1880.7750316035613,0.4920423298151838,0.6994053759891956
1000.0,1889.5432063635837,0.49433623156560724,0.7026660044331748
1010.0,1898.3113811236065,0.4966301333160308,0.7059266328771542
1020.0,1907.0795558836292,0.4989240350664543,0.7091872613211335
1030.0,1915.8477306436516,0.5012179368168778,0.7124478897651126
1040.0,1924.615905403674,0.5035118385673012,0.715708518209092
1050.0,1933.3840801636968,0.5058057403177247,0.7189691466530712
1060.0,1942.1522549237195,0.5080996420681483,0.7222297750970506
1070.0,1950.920429683742,0.5103935438185717,0.7254904035410298
1080.0,1959.6886044437645,0.5126874455689951,0.728751031985009
1090.0,1968.4567792037872,0.5149813473194187,0.7320116604289882
1100.0,1977.2249539638099,0.5172752490698422,0.7352722888729676
1110.0,1985.9931287238326,0.5195691508202658,0.7385329173169469
1120.0,1994.7613034838548,0.5218630525706891,0.741793545760926
1130.0,2003.5294782438775,0.5241569543211126,0.7450541742049054
1140.0,2012.2976530039002,0.5264508560715362,0.7483148026488846
1150.0,2021.0658277639225,0.5287447578219596,0.7515754310928638
1160.0,2029.8340025239452,0.531038659572383,0.7548360595368431
1170.0,2038.6021772839679,0.5333325613228066,0.7580966879808224
1180.0,2047.3703520439906,0.5356264630732301,0.7613573164248016
1190.0,2056.138526804013,0.5379203648236536,0.764617944868781
1200.0,2064.9067015640353,0.540214266574077,0.76787857331276
1210.0,2073.674876324058,0.5425081683245006,0.7711392017567394
1220.0,2082.4430510840803,0.5448020700749239,0.7743998302007185
1230.0,2091.211225844103,0.5470959718253474,0.7776604586446979
1240.0,2099.9794006041257,0.549389873575771,0.7809210870886771
1250.0,2108.7475753641484,0.5516837753261945,0.7841817155326565
1260.0,2117.515750124171,0.553977677076618,0.7874423439766357
1270.0,2126.2839248841938,0.5562715788270415,0.790702972420615
1280.0,2135.052099644216,0.5585654805774649,0.7939636008645942
1290.0,2143.8202744042387,0.5608593823278885,0.7972242293085735
