lower_gross,payor_3c,box1_7d,box3_7d,box3_reduction
150000.0,0.572727691846661,198.83169129342332,142.0226366381595,0.2857142857142858
148000.0,0.5760473905079874,207.08850995981834,147.92036425701315,0.2857142857142855
146000.0,0.5794057974394253,215.37881902151378,153.8420135867956,0.2857142857142856
144000.0,0.5828035936290492,223.70320766939187,159.78800547813705,0.2857142857142857
142000.0,0.5862414761331729,232.06227899657495,165.75877071183936,0.28571428571428525
140000.0,0.5897201585530845,240.45665041089785,171.75475029349843,0.2857142857142858
138000.0,0.5932403715288556,248.8869540621505,177.77639575867897,0.2857142857142855
136000.0,0.5968028632509428,257.3538372847157,183.8241694890827,0.2857142857142856
134000.0,0.6004083999903337,265.85796305625195,189.89854504018,0.2857142857142855
132000.0,0.604057766648027,274.40001047310375,196.00000748078844,0.2857142857142856
130000.0,0.6077517673246741,282.9806752431541,202.12905374511,0.2857142857142859
128000.0,0.61149122591125,291.60067019687494,208.28619299776778,0.2857142857142858
126000.0,0.6152769867016666,300.2607258173589,214.47194701239926,0.2857142857142856
124000.0,0.6191099150282824,308.9615907901622,220.68685056440165,0.28571428571428537
122000.0,0.6229908979213159,317.7040325738301,226.93145183845013,0.2857142857142855
120000.0,0.6269208447932174,326.48883799201474,233.20631285143907,0.2857142857142858
118000.0,0.6309006881491074,335.3168138481461,239.512009891533,0.2857142857142855
116000.0,0.6349313843244486,344.18878756366655,245.84913397404762,0.2857142857142855
114000.0,0.6390139142511767,353.1056078408873,252.2182913149195,0.2857142857142857
112000.0,0.6431492842535786,362.0681453515807,258.6201038225578,0.28571428571428537
110000.0,0.6473385268752768,371.07729345248947,265.055209608921,0.2857142857142858
108000.0,0.6515827017387428,380.1339689289756,271.5242635206969,0.2857142857142857
106000.0,0.6558828964388479,389.2391127681219,278.0279376915157,0.2857142857142856
104000.0,0.660240227472031,398.3936909626474,284.56692211617667,0.2857142857142858
102000.0,0.6646558412027501,407.59869534708093,291.14192524791497,0.2857142857142857
100000.0,0.6691309148689775,416.8551444677162,297.75367461979727,0.2857142857142857
98000.0,0.6736666576285892,426.16408448794766,304.40291749139124,0.2857142857142856
96000.0,0.6782643116486037,435.52659013067944,311.090421521914,0.2857142857142855
94000.0,0.6829251532393282,444.94376565958987,317.8169754711355,0.28571428571428603
92000.0,0.6876504940355926,487.2020803953043,324.5833899293808,0.33378078011074686
90000.0,0.6924416822273627,500.2386308927633,331.3904980780486,0.33753517299009006
88000.0,0.6973001038421599,513.1668194054643,338.2391564821471,0.34087874801800655
86000.0,0.7022271840818518,525.9866459334069,345.13024591643057,0.34384218955983503
84000.0,0.7072243887165182,538.6981104765914,352.0646722268083,0.3464527434199959
82000.0,0.7122932255382586,551.301213035018,359.0433672287976,0.3487346685631334
80000.0,0.7174352458779705,563.7959536086862,366.06728964489344,0.3507096187870662
78000.0,0.7226520461883017,576.1823321975962,373.137426082832,0.35239696666910625
76000.0,0.7279452696961707,588.4603488017485,380.2547920568488,0.35381407968923984
74000.0,0.7333166081284496,600.6300034211426,389.3049474986183,0.35183899358812076
72000.0,0.7387678035146145,612.6912960557785,399.0190576222595,0.3487437145084996
70000.0,0.7443006500703994,624.6442267056561,408.655766328216,0.3457783665376257
68000.0,0.749916996166732,636.488795370776,418.2150736164883,0.34293411501004645
66000.0,0.7556187463884918,648.2250020511374,427.6969794870763,0.3402028953932017
64000.0,0.7614078636879041,659.8528467467411,437.10148393997986,0.3375773309230803
62000.0,0.7672863716376888,671.1937584425594,446.30103625017983,0.3350637865200379
60000.0,0.7732563567893933,682.221732862939,455.27706193506634,0.33265529372027014
58000.0,0.7793199711426869,693.1305091000845,464.16794606049996,0.3303310993146942
56000.0,0.7854794347317504,703.9200871539963,472.9736886264809,0.3280861034400221
54000.0,0.7917370383352983,714.5904670246741,481.69428963300896,0.3259155952098973
52000.0,0.7980951463171758,725.1416487121177,490.3297490800842,0.323815216032715
50000.0,0.804556199604935,735.5736322163275,498.8800669677065,0.3217809269963213
48000.0,0.8111227188142731,745.8864175373035,507.3452432958761,0.3198089798028765
46000.0,0.8177973075277312,756.0800046750455,515.725278064593,0.31789589081085967
44000.0,0.8245826557366168,766.1543936295535,524.0201712738569,0.31603841780325537
42000.0,0.8314815434557077,776.1095844008279,532.2299229236683,0.3142335391534169
40000.0,0.8384968445209409,785.945576988868,540.3545330140266,0.31247843510457196
38000.0,0.8456315305809877,795.6623713936744,548.3940015449324,0.3107704709167397
36000.0,0.85288867529436,805.2599676152468,556.3483285163851,0.30910718166706586
34000.0,0.8602714587445032,814.7383656535853,564.2175139283852,0.30748625851715183
32000.0,0.8677831720862003,824.0975655086897,572.0015577809322,0.30590553628458605
30000.0,0.8754272224375462,833.3375671805603,579.7004600740268,0.3043629821761986
28000.0,0.8832071380327753,842.4583706691972,587.3142208076682,0.30285668555807466
26000.0,0.8911265736523081,851.4599759746,594.8428399818571,0.3013848486524727
24000.0,0.8991893163475806,860.3423830967688,602.2863175965931,0.29994577806490597
22000.0,0.9073992914794932,884.8548292443102,622.6633395701117,0.29631017541952853
20000.0,0.915760569090708,895.5789361984445,632.5212181637241,0.293729237482235
18000.0,0.9242773706335331,906.3594361301805,642.4193774556235,0.2912090371138888
16000.0,0.9329540760767526,911.9363787546612,647.0974133961867,0.2904138616776515
14000.0,0.9417952314165499,915.1421816808717,649.3872726291941,0.2903973987556303
12000.0,0.9508055566185756,918.4093255991262,651.7209468565188,0.2903807390769172
10000.0,0.9599899540203237,921.739588097,654.0997057835715,0.29036387909299954
8000.0,0.9693535172252351,925.134816115101,656.5248686536436,0.2903468151695182
6000.0,0.978901540522438,928.5969293626666,658.9978066876191,0.29032954358365604
4000.0,0.9886395288687279,932.1279239370315,661.5199456693082,0.290312060521431
2000.0,0.9985732084723282,935.7298761612969,664.0927686866407,0.29029436207488646
