child_care_per_child_per_week,share_over_ceiling_primary_custody,share_over_ceiling_joint_custody_equal_time,share_over_60pct_primary_custody,share_over_60pct_joint_custody_equal_time
0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
20,0.02702702702702703,0.0017436791630340018,0.0,0.0
30,0.07585004359197908,0.04795117698343505,0.0,0.0
40,0.12292938099389712,0.07149084568439407,0.0,0.0
50,0.17523975588491716,0.08805579773321709,0.0017436791630340018,0.0
60,0.22493461203138623,0.1037489102005231,0.015693112467306015,0.006974716652136007
70,0.26852659110723626,0.12118570183086312,0.03312990409764603,0.022667829119442023
80,0.31386224934612034,0.13775065387968613,0.05579773321708806,0.036617262423714034
90,0.35571054925893636,0.15518744551002617,0.08020924149956409,0.05318221447253706
100,0.4001743679163034,0.17698343504795117,0.10636442894507411,0.06277244986922406
110,0.44812554489973844,0.1987794245858762,0.13426329555361813,0.07323452484742807
120,0.4986922406277245,0.22667829119442023,0.16216216216216217,0.08544027898866609
130,0.5518744551002616,0.24934612031386225,0.1918047079337402,0.0985178727114211
140,0.6006974716652136,0.27898866608544026,0.22319093286835223,0.11072362685265912
150,0.6547515257192676,0.3042720139494333,0.25370531822144726,0.12641673931996514
160,0.7035745422842197,0.33565823888404533,0.2781168265039233,0.13949433304272013
170,0.7471665213600698,0.35745422842197033,0.31037489102005233,0.15082824760244115
180,0.7855274629468177,0.38448125544899736,0.33914559721011334,0.16913687881429817
190,0.8230165649520488,0.40540540540540543,0.3653007846556234,0.1822144725370532
200,0.8561464690496948,0.4306887532693984,0.3984306887532694,0.2031386224934612
210,0.8866608544027899,0.45422842197035745,0.42894507410636445,0.21970357454228423
220,0.9154315605928509,0.4777680906713165,0.46120313862249346,0.23626852659110723
230,0.939843068875327,0.4978204010462075,0.4978204010462075,0.26155187445510025
240,0.959895379250218,0.5187445510026155,0.5300784655623365,0.27550130775937226
250,0.977332170880558,0.5396687009590235,0.5666957279860506,0.2981691368788143
260,0.988666085440279,0.5553618134263295,0.6041848299912816,0.3217088055797733
270,0.997384481255449,0.5815170008718396,0.6408020924149956,0.33914559721011334
280,1.0,0.5963382737576286,0.6730601569311246,0.3679163034001744
290,1.0,0.6224934612031386,0.7061900610287707,0.3897122929380994
300,1.0,0.6355710549258936,0.7367044463818657,0.40889276373147343
310,1.0,0.6617262423714037,0.7680906713164778,0.43330427201394944
320,1.0,0.6748038360941587,0.7942458587619878,0.44986922406277247
330,1.0,0.6939843068875327,0.8186573670444638,0.47166521360069746
340,1.0,0.7122929380993898,0.8421970357454228,0.4925893635571055
350,1.0,0.7279860505666957,0.8657367044463818,0.5082824760244115
360,1.0,0.7480383609415867,0.8875326939843069,0.5309503051438536
370,1.0,0.7593722755013078,0.9075850043591979,0.5475152571926766
380,1.0,0.7811682650392328,0.925893635571055,0.5684394071490846
390,1.0,0.7942458587619878,0.941586748038361,0.5858761987794245
400,1.0,0.8142981691368788,0.95640802092415,0.6024411508282476
410,1.0,0.8265039232781168,0.9686137750653879,0.6224934612031386
420,1.0,0.8465562336530078,0.979075850043592,0.6399302528334786
430,1.0,0.8596338273757629,0.987794245858762,0.6530078465562337
