payor_income,other_parent_income,share_of_net,over_federal_ceiling_50pct
60000.0,0.0,0.7740545935727787,True
65000.0,0.0,0.7516274478127585,True
70000.0,0.0,0.7369420421571311,True
75000.0,0.0,0.7258512671689988,True
80000.0,0.0,0.7159422664275233,True
85000.0,0.0,0.7070357088122605,True
90000.0,0.0,0.6955973417814779,True
95000.0,0.0,0.6849009046497734,True
100000.0,0.0,0.6751440000000001,True
105000.0,0.0,0.6662080484114977,True
110000.0,0.0,0.6579936195712608,True
115000.0,0.0,0.6504167168433241,True
120000.0,0.0,0.6434058945924317,True
125000.0,0.0,0.6373495409353339,True
130000.0,0.0,0.6298263317739582,True
135000.0,0.0,0.6213840312962267,True
140000.0,0.0,0.6134756109247724,True
145000.0,0.0,0.6060519800471244,True
150000.0,0.0,0.5990698876172413,True
155000.0,0.0,0.5924910789261342,True
160000.0,0.0,0.5862815943852684,True
165000.0,0.0,0.5804111831812676,True
170000.0,0.0,0.5748528104311927,True
175000.0,0.0,0.5695822408938401,True
180000.0,0.0,0.5645776857133752,True
185000.0,0.0,0.5593855175601816,True
190000.0,0.0,0.5516599128540305,True
195000.0,0.0,0.5443303557542409,True
200000.0,0.0,0.5373671527233789,True
205000.0,0.0,0.5309110159595173,True
210000.0,0.0,0.5247584253349039,True
215000.0,0.0,0.5188884649485261,True
220000.0,0.0,0.5138535050783526,True
225000.0,0.0,0.5097809303355925,True
230000.0,0.0,0.5058639256292041,True
235000.0,0.0,0.502093743993523,True
240000.0,0.0,0.4984622821332589,False
245000.0,0.0,0.49496202228516795,False
250000.0,0.0,0.49158598026939415,False
255000.0,0.0,0.488327658975074,False
260000.0,0.0,0.4851810066283544,False
265000.0,0.0,0.48188240522890335,False
270000.0,0.0,0.47848787097338175,False
275000.0,0.0,0.4754090306033979,False
280000.0,0.0,0.4726008786618079,False
285000.0,0.0,0.4698771546694445,False
290000.0,0.0,0.46723410748760164,False
295000.0,0.0,0.46466820495230093,False
300000.0,0.0,0.4621761181256682,False
60000.0,5000.0,0.7554413507534065,True
65000.0,5000.0,0.7356848523638866,True
70000.0,5000.0,0.723045751904158,True
75000.0,5000.0,0.7135992347661452,True
80000.0,5000.0,0.7050585705461616,True
85000.0,5000.0,0.6951657167771638,True
90000.0,5000.0,0.6846133094524265,True
95000.0,5000.0,0.6749669615591108,True
100000.0,5000.0,0.6661162939720757,True
105000.0,5000.0,0.6579678767762994,True
110000.0,5000.0,0.6504421590897149,True
115000.0,5000.0,0.6434710264577435,True
120000.0,5000.0,0.6369958460046843,True
125000.0,5000.0,0.630510425399105,True
130000.0,5000.0,0.6220678331874471,True
135000.0,5000.0,0.6141546894924164,True
140000.0,5000.0,0.6067230254394939,True
145000.0,5000.0,0.5997304540293872,True
150000.0,5000.0,0.59313938818895,True
155000.0,5000.0,0.5869163853487295,True
160000.0,5000.0,0.5810315955810674,True
165000.0,5000.0,0.575458294905095,True
170000.0,5000.0,0.5701724889573527,True
175000.0,5000.0,0.5651525750614101,True
180000.0,5000.0,0.5603790529766343,True
185000.0,5000.0,0.5541433336772517,True
190000.0,5000.0,0.5466892184733327,True
195000.0,5000.0,0.5396105938557983,True
200000.0,5000.0,0.53287979051552,True
205000.0,5000.0,0.5266379535114458,True
210000.0,5000.0,0.5206846700213994,True
215000.0,5000.0,0.5150003907527234,True
220000.0,5000.0,0.5101345648748417,True
225000.0,5000.0,0.5062150621462196,True
230000.0,5000.0,0.5024418578938006,True
235000.0,5000.0,0.4988069399712571,False
240000.0,5000.0,0.49530286843852833,False
245000.0,5000.0,0.49192272561339945,False
250000.0,5000.0,0.48866007123716015,False
255000.0,5000.0,0.4855089021575554,False
260000.0,5000.0,0.482365377861592,False
265000.0,5000.0,0.47896146463181805,False
270000.0,5000.0,0.47566831455105885,False
275000.0,5000.0,0.4726844902204257,False
280000.0,5000.0,0.4699656517568343,False
285000.0,5000.0,0.46732691244245345,False
290000.0,5000.0,0.46476479691868516,False
295000.0,5000.0,0.4622760271474398,False
300000.0,5000.0,0.459857508674581,False
60000.0,10000.0,0.7306564897935258,True
65000.0,10000.0,0.7142418971570371,True
70000.0,10000.0,0.7041929037594308,True
75000.0,10000.0,0.6968517629562102,True
80000.0,10000.0,0.6879679580044116,True
85000.0,10000.0,0.6782667756605837,True
90000.0,10000.0,0.6693321347401152,True
95000.0,10000.0,0.6610821410905594,True
100000.0,10000.0,0.6534450064827614,True
105000.0,10000.0,0.646357845949198,True
110000.0,10000.0,0.6397655374355035,True
115000.0,10000.0,0.6336196904851692,True
120000.0,10000.0,0.6269819573556761,True
125000.0,10000.0,0.6186037131002295,True
130000.0,10000.0,0.6109745300790619,True
135000.0,10000.0,0.6037942301488591,True
140000.0,10000.0,0.5970251393900811,True
145000.0,10000.0,0.5906335730200505,True
150000.0,10000.0,0.5845893401189898,True
155000.0,10000.0,0.5788653164693073,True
160000.0,10000.0,0.5734370757525814,True
165000.0,10000.0,0.5682825706543423,True
170000.0,10000.0,0.5633818566254357,True
175000.0,10000.0,0.5587168521128938,True
180000.0,10000.0,0.5527180609737121,True
185000.0,10000.0,0.5465080132834741,True
190000.0,10000.0,0.5394409573610268,True
195000.0,10000.0,0.5327206906862918,True
200000.0,10000.0,0.5263223129099702,True
205000.0,10000.0,0.5203874399051299,True
210000.0,10000.0,0.5147200628888607,True
215000.0,10000.0,0.5093025152402069,True
220000.0,10000.0,0.5046798573684372,True
225000.0,10000.0,0.500980565383095,True
230000.0,10000.0,0.4974144952505737,False
235000.0,10000.0,0.49397465046784994,False
240000.0,10000.0,0.4906545099790241,False
245000.0,10000.0,0.4874479890851428,False
250000.0,10000.0,0.48434940407222987,False
255000.0,10000.0,0.48125542806531807,False
260000.0,10000.0,0.4778988455189288,False
265000.0,10000.0,0.47465015476437894,False
270000.0,10000.0,0.47150427133882816,False
275000.0,10000.0,0.46865855616609975,False
280000.0,10000.0,0.46606962515221223,False
285000.0,10000.0,0.4635545988737686,False
290000.0,10000.0,0.4611103900264427,False
295000.0,10000.0,0.4587340786789863,False
300000.0,10000.0,0.45642290127035773,False
60000.0,15000.0,0.7093600959206684,True
65000.0,15000.0,0.6956186025864768,True
70000.0,15000.0,0.6876661892817558,True
75000.0,15000.0,0.6799600833465369,True
80000.0,15000.0,0.6712439888387444,True
85000.0,15000.0,0.6631272611969876,True
90000.0,15000.0,0.6555632289210342,True
95000.0,15000.0,0.6485066164567764,True
100000.0,15000.0,0.6419147829918361,True
105000.0,15000.0,0.6357482658689518,True
110000.0,15000.0,0.6299709313167995,True
115000.0,15000.0,0.6236588766648998,True
120000.0,15000.0,0.6151418775059347,True
125000.0,15000.0,0.6075721854640376,True
130000.0,15000.0,0.6006677183146436,True
135000.0,15000.0,0.5941431580850702,True
140000.0,15000.0,0.5879692933577098,True
145000.0,15000.0,0.5821196460382783,True
150000.0,15000.0,0.5765701926544367,True
155000.0,15000.0,0.5712991115376245,True
160000.0,15000.0,0.5662865552592811,True
165000.0,15000.0,0.5615144468449893,True
170000.0,15000.0,0.5569662978835012,True
175000.0,15000.0,0.5510785842062005,True
180000.0,15000.0,0.5451023788451247,True
185000.0,15000.0,0.539262154674248,True
190000.0,15000.0,0.5325532201590463,True
195000.0,15000.0,0.5261651709211137,True
200000.0,15000.0,0.5200755455506935,True
205000.0,15000.0,0.5144262376373272,True
210000.0,15000.0,0.509025288875488,True
215000.0,15000.0,0.5038567045773028,True
220000.0,15000.0,0.49946123532939907,False
225000.0,15000.0,0.49596782422743685,False
230000.0,15000.0,0.4925956953269391,False
235000.0,15000.0,0.4893387571758896,False
240000.0,15000.0,0.4861913096749127,False
245000.0,15000.0,0.4831480141847158,False
250000.0,15000.0,0.4801060881769772,False
255000.0,15000.0,0.4767991734641581,False
260000.0,15000.0,0.47359710068042216,False
265000.0,15000.0,0.47049502461450493,False
270000.0,15000.0,0.4674883894090912,False
275000.0,15000.0,0.46477336541549635,False
280000.0,15000.0,0.4623074605430212,False
285000.0,15000.0,0.4599097076679671,False
290000.0,15000.0,0.4575773726432565,False
295000.0,15000.0,0.45530786200647505,False
300000.0,15000.0,0.45309871436085647,False
60000.0,20000.0,0.6908640904699729,True
65000.0,20000.0,0.6792931185196376,True
70000.0,20000.0,0.6709971678840411,True
75000.0,20000.0,0.663430779422619,True
80000.0,20000.0,0.6562612291897423,True
85000.0,20000.0,0.649485996521967,True
90000.0,20000.0,0.6430926885420445,True
95000.0,20000.0,0.6370635322662056,True
100000.0,20000.0,0.6313781331506874,True
105000.0,20000.0,0.6260151628953279,True
110000.0,20000.0,0.6200674777889847,True
115000.0,20000.0,0.6118815506795471,True
120000.0,20000.0,0.6041720846026932,True
125000.0,20000.0,0.5973227694236279,True
130000.0,20000.0,0.5910666205459266,True
135000.0,20000.0,0.5851310267595755,True
140000.0,20000.0,0.5794937717147812,True
145000.0,20000.0,0.5741343767847469,True
